date,lapin,renard
2020-09-10,1000,2000
2020-09-11,947,1996
2020-09-12,883,1992
2020-09-13,834,1989
2020-09-14,784,1980
2020-09-15,752,1959
2020-09-16,719,1940
2020-09-17,684,1923
2020-09-18,647,1892
2020-09-19,610,1880
2020-09-20,575,1848
2020-09-21,544,1829
2020-09-22,506,1807
2020-09-23,488,1773
2020-09-24,474,1741
2020-09-25,464,1708
2020-09-26,454,1672
2020-09-27,439,1655
2020-09-28,414,1630
2020-09-29,394,1607
2020-09-30,369,1551
2020-10-01,352,1520
2020-10-02,338,1487
2020-10-03,326,1458
2020-10-04,307,1418
2020-10-05,302,1389
2020-10-06,284,1359
2020-10-07,272,1337
2020-10-08,244,1306
2020-10-09,229,1261
2020-10-10,222,1240
2020-10-11,207,1206
2020-10-12,213,1188
2020-10-13,196,1146
2020-10-14,198,1114
2020-10-15,174,1096
2020-10-16,165,1058
2020-10-17,149,1044
2020-10-18,154,1023
2020-10-19,141,988
2020-10-20,146,965
2020-10-21,139,935
2020-10-22,131,900
2020-10-23,127,882
2020-10-24,129,853
2020-10-25,131,826
2020-10-26,130,786
2020-10-27,109,777
2020-10-28,110,759
2020-10-29,100,726
2020-10-30,100,721
2020-10-31,92,713
2020-11-01,94,693
2020-11-02,75,680
2020-11-03,77,662
2020-11-04,74,650
2020-11-05,62,632
2020-11-06,65,615
2020-11-07,66,597
2020-11-08,68,570
2020-11-09,75,544
2020-11-10,70,529
2020-11-11,76,515
2020-11-12,86,517
2020-11-13,87,500
2020-11-14,87,492
2020-11-15,94,483
2020-11-16,99,467
2020-11-17,109,460
2020-11-18,98,465
2020-11-19,112,458
2020-11-20,110,454
2020-11-21,113,441
2020-11-22,112,449
2020-11-23,121,434
2020-11-24,125,418
2020-11-25,136,400
2020-11-26,134,384
2020-11-27,144,382
2020-11-28,131,355
2020-11-29,131,344
2020-11-30,144,333
2020-12-01,139,308
2020-12-02,151,303
2020-12-03,150,306
2020-12-04,157,314
2020-12-05,161,307
2020-12-06,143,305
2020-12-07,134,298
2020-12-08,144,308
2020-12-09,141,311
2020-12-10,151,289
2020-12-11,156,300
2020-12-12,158,274
2020-12-13,158,268
2020-12-14,159,266
2020-12-15,161,244
2020-12-16,166,238
2020-12-17,169,234
2020-12-18,178,232
2020-12-19,185,238
2020-12-20,184,235
2020-12-21,197,227
2020-12-22,208,212
2020-12-23,215,209
2020-12-24,201,223
2020-12-25,202,216
2020-12-26,203,221
2020-12-27,213,214
2020-12-28,227,188
2020-12-29,229,189
2020-12-30,227,171
2020-12-31,218,165
2021-01-01,223,152
2021-01-02,231,158
2021-01-03,231,164
2021-01-04,238,151
2021-01-05,240,137
2021-01-06,238,117
2021-01-07,244,125
2021-01-08,237,125
2021-01-09,230,127
2021-01-10,237,126
2021-01-11,232,115
2021-01-12,230,106
2021-01-13,215,95
2021-01-14,220,99
2021-01-15,212,95
2021-01-16,214,83
2021-01-17,220,82
2021-01-18,231,77
2021-01-19,232,64
2021-01-20,256,52
2021-01-21,269,50
2021-01-22,273,48
2021-01-23,290,49
2021-01-24,302,27
2021-01-25,316,33
2021-01-26,322,39
2021-01-27,327,29
2021-01-28,334,34
2021-01-29,337,40
2021-01-30,325,41
2021-01-31,336,39
2021-02-01,325,38
2021-02-02,331,45
2021-02-03,340,47
2021-02-04,319,53
2021-02-05,332,55
2021-02-06,349,46
2021-02-07,346,35
2021-02-08,354,40
2021-02-09,365,45
2021-02-10,382,63
2021-02-11,389,52
2021-02-12,387,29
2021-02-13,414,34
2021-02-14,431,39
2021-02-15,442,49
2021-02-16,435,49
2021-02-17,438,49
2021-02-18,439,54
2021-02-19,457,40
2021-02-20,472,37
2021-02-21,487,42
2021-02-22,502,45
2021-02-23,504,51
2021-02-24,509,58
2021-02-25,508,71
2021-02-26,501,77
2021-02-27,503,72
2021-02-28,500,68
2021-03-01,511,66
2021-03-02,514,64
2021-03-03,534,79
2021-03-04,538,87
2021-03-05,559,86
2021-03-06,571,81
2021-03-07,600,84
2021-03-08,617,101
2021-03-09,624,110
2021-03-10,640,115
2021-03-11,650,123
2021-03-12,642,120
2021-03-13,649,107
2021-03-14,634,108
2021-03-15,635,114
2021-03-16,637,114
2021-03-17,668,118
2021-03-18,691,123
2021-03-19,707,130
2021-03-20,717,117
2021-03-21,725,106
2021-03-22,743,110
2021-03-23,746,107
2021-03-24,765,123
2021-03-25,787,106
2021-03-26,809,99
2021-03-27,831,111
2021-03-28,847,106
2021-03-29,851,103
2021-03-30,861,109
2021-03-31,860,109
2021-04-01,877,102
2021-04-02,899,108
2021-04-03,919,107
2021-04-04,924,114
2021-04-05,946,114
2021-04-06,971,105
2021-04-07,985,97
2021-04-08,1002,102
2021-04-09,1010,107
2021-04-10,1024,105
2021-04-11,1043,94
2021-04-12,1054,89
2021-04-13,1068,85
2021-04-14,1093,90
2021-04-15,1115,84
2021-04-16,1130,66
2021-04-17,1143,69
2021-04-18,1137,72
2021-04-19,1158,63
2021-04-20,1175,70
2021-04-21,1196,69
2021-04-22,1224,76
2021-04-23,1242,75
2021-04-24,1262,61
2021-04-25,1292,63
2021-04-26,1310,68
2021-04-27,1337,64
2021-04-28,1358,59
2021-04-29,1368,57
2021-04-30,1400,69
2021-05-01,1417,65
2021-05-02,1439,67
2021-05-03,1466,84
2021-05-04,1485,80
2021-05-05,1521,73
2021-05-06,1547,49
2021-05-07,1575,54
2021-05-08,1605,48
2021-05-09,1624,59
2021-05-10,1655,46
2021-05-11,1689,57
2021-05-12,1704,48
2021-05-13,1739,46
2021-05-14,1751,41
2021-05-15,1789,48
2021-05-16,1846,64
2021-05-17,1860,88
2021-05-18,1875,98
2021-05-19,1918,83
2021-05-20,1949,74
2021-05-21,1987,101
2021-05-22,2034,123
2021-05-23,2078,123
2021-05-24,2112,138
2021-05-25,2129,142
2021-05-26,2163,155
2021-05-27,2196,164
2021-05-28,2240,165
2021-05-29,2271,161
2021-05-30,2294,161
2021-05-31,2342,173
2021-06-01,2372,197
2021-06-02,2418,200
2021-06-03,2431,225
2021-06-04,2453,231
2021-06-05,2467,236
2021-06-06,2494,227
2021-06-07,2514,242
2021-06-08,2535,258
2021-06-09,2561,276
2021-06-10,2575,292
2021-06-11,2605,315
2021-06-12,2633,339
2021-06-13,2645,354
2021-06-14,2665,365
2021-06-15,2675,381
2021-06-16,2694,400
2021-06-17,2717,427
2021-06-18,2719,457
2021-06-19,2717,487
2021-06-20,2722,502
2021-06-21,2713,530
2021-06-22,2709,571
2021-06-23,2707,592
2021-06-24,2684,613
2021-06-25,2667,632
2021-06-26,2658,667
2021-06-27,2643,696
2021-06-28,2622,731
2021-06-29,2596,763
2021-06-30,2561,783
2021-07-01,2532,822
2021-07-02,2497,852
2021-07-03,2457,884
2021-07-04,2419,916
2021-07-05,2380,946
2021-07-06,2327,989
2021-07-07,2278,1036
2021-07-08,2231,1079
2021-07-09,2170,1111
2021-07-10,2121,1152
2021-07-11,2078,1198
2021-07-12,2025,1230
2021-07-13,1973,1274
2021-07-14,1910,1304
2021-07-15,1852,1352
2021-07-16,1785,1376
2021-07-17,1713,1410
2021-07-18,1650,1446
2021-07-19,1592,1486
2021-07-20,1533,1517
2021-07-21,1469,1533
2021-07-22,1402,1561
2021-07-23,1335,1593
2021-07-24,1289,1595
2021-07-25,1228,1598
2021-07-26,1180,1605
2021-07-27,1130,1628
2021-07-28,1077,1620
2021-07-29,1048,1638
2021-07-30,1006,1639
2021-07-31,974,1634
2021-08-01,927,1622
2021-08-02,881,1612
2021-08-03,847,1594
2021-08-04,803,1575
2021-08-05,764,1574
2021-08-06,726,1577
2021-08-07,688,1556
2021-08-08,650,1529
2021-08-09,608,1513
2021-08-10,583,1478
2021-08-11,556,1477
2021-08-12,546,1467
2021-08-13,532,1447
2021-08-14,510,1429
2021-08-15,470,1413
2021-08-16,452,1378
2021-08-17,422,1344
2021-08-18,408,1331
2021-08-19,397,1300
2021-08-20,383,1277
2021-08-21,368,1266
2021-08-22,356,1247
2021-08-23,334,1227
2021-08-24,318,1198
2021-08-25,307,1189
2021-08-26,299,1156
2021-08-27,299,1141
2021-08-28,303,1108
2021-08-29,310,1084
2021-08-30,317,1067
2021-08-31,305,1035
2021-09-01,286,1012
2021-09-02,278,975
2021-09-03,281,949
2021-09-04,284,931
2021-09-05,278,908
2021-09-06,258,868
2021-09-07,266,856
2021-09-08,275,854
2021-09-09,274,845
2021-09-10,276,823
2021-09-11,278,808
2021-09-12,284,787
2021-09-13,279,770
2021-09-14,288,744
2021-09-15,289,717
2021-09-16,273,707
2021-09-17,275,697
2021-09-18,273,694
2021-09-19,269,671
2021-09-20,271,649
2021-09-21,257,642
2021-09-22,259,647
2021-09-23,259,632
2021-09-24,252,631
2021-09-25,250,614
2021-09-26,258,600
2021-09-27,258,591
2021-09-28,236,584
2021-09-29,241,573
2021-09-30,250,568
2021-10-01,262,550
2021-10-02,266,543
2021-10-03,255,530
2021-10-04,261,508
2021-10-05,253,495
2021-10-06,260,487
2021-10-07,267,465
2021-10-08,275,440
2021-10-09,266,432
2021-10-10,269,431
2021-10-11,277,422
2021-10-12,259,403
2021-10-13,255,411
2021-10-14,244,401
2021-10-15,236,386
2021-10-16,225,373
2021-10-17,228,366
2021-10-18,236,354
2021-10-19,243,349
2021-10-20,253,340
2021-10-21,247,331
2021-10-22,248,313
2021-10-23,241,311
2021-10-24,243,307
2021-10-25,252,307
2021-10-26,252,301
2021-10-27,250,280
2021-10-28,253,280
2021-10-29,241,281
2021-10-30,245,276
2021-10-31,232,279
2021-11-01,252,268
2021-11-02,257,253
2021-11-03,266,256
2021-11-04,244,247
2021-11-05,235,237
2021-11-06,243,220
2021-11-07,253,211
2021-11-08,252,194
2021-11-09,245,200
2021-11-10,252,199
2021-11-11,263,183
2021-11-12,261,184
2021-11-13,250,194
2021-11-14,247,195
2021-11-15,237,181
2021-11-16,242,155
2021-11-17,226,139
2021-11-18,236,126
2021-11-19,236,127
2021-11-20,244,116
2021-11-21,244,115
2021-11-22,255,116
2021-11-23,263,112
2021-11-24,273,115
2021-11-25,271,108
2021-11-26,266,110
